"","pmid","doi","url","year","title"
"1","31356681","10.1002/14651858.CD006843.pub3","https://doi.org/10.1002/14651858.CD006843.pub3","2019","Fetal fibronectin testing for reducing the risk of preterm birth."
"2","31348529","10.1002/14651858.CD008873.pub4","https://doi.org/10.1002/14651858.CD008873.pub4","2019","Vitamin D supplementation for women during pregnancy."
"3","31339557","10.1002/14651858.CD012412.pub3","https://doi.org/10.1002/14651858.CD012412.pub3","2019","Protein hydrolysate versus standard formula for preterm infants."
"4","31339555","10.1002/14651858.CD003808.pub4","https://doi.org/10.1002/14651858.CD003808.pub4","2019","WITHDRAWN: Operative caries management in adults and children."
"5","31335963","10.1002/14651858.CD013067.pub2","https://doi.org/10.1002/14651858.CD013067.pub2","2019","Speech and language therapy for management of chronic cough."
"6","31334846","10.1002/14651858.CD012711.pub2","https://doi.org/10.1002/14651858.CD012711.pub2","2019","The impact of surgical therapies for inflammatory bowel disease on female fertility."
"7","31334842","10.1002/14651858.CD012247.pub2","https://doi.org/10.1002/14651858.CD012247.pub2","2019","Buffered solutions versus 0.9% saline for resuscitation in critically ill adults and children."
"8","31334568","10.1002/14651858.CD004477.pub3","https://doi.org/10.1002/14651858.CD004477.pub3","2019","Pharmacological agents for adults with acute respiratory distress syndrome."
"9","31334564","10.1002/14651858.CD012886.pub2","https://doi.org/10.1002/14651858.CD012886.pub2","2019","Work-break schedules for preventing musculoskeletal symptoms and disorders in healthy workers."
"10","31332776","10.1002/14651858.CD001871.pub4","https://doi.org/10.1002/14651858.CD001871.pub4","2019","Interventions for preventing obesity in children."
"11","31329285","10.1002/14651858.CD004080.pub4","https://doi.org/10.1002/14651858.CD004080.pub4","2019","Early enteral nutrition within 24 hours of lower gastrointestinal surgery versus later commencement for length of hospital stay and postoperative complications."
"12","31328789","10.1002/14651858.CD001198.pub5","https://doi.org/10.1002/14651858.CD001198.pub5","2019","Enteral tube feeding for cystic fibrosis."
"13","31323120","10.1002/14651858.CD012764.pub2","https://doi.org/10.1002/14651858.CD012764.pub2","2019","Community first responders for out-of-hospital cardiac arrest in adults and children."
"14","31322731","10.1002/14651858.CD002971.pub5","https://doi.org/10.1002/14651858.CD002971.pub5","2019","Formula versus donor breast milk for feeding preterm or low birth weight infants."
"15","31322289","10.1002/14651858.CD012128.pub2","https://doi.org/10.1002/14651858.CD012128.pub2","2019","Surgical interventions for symptomatic mild to moderate knee osteoarthritis."
"16","31318037","10.1002/14651858.CD001911.pub4","https://doi.org/10.1002/14651858.CD001911.pub4","2019","Carbamazepine versus phenytoin monotherapy for epilepsy: an individual participant data review."
"17","31314903","10.1002/14651858.CD004204.pub3","https://doi.org/10.1002/14651858.CD004204.pub3","2019","Nutrient-enriched formula versus standard formula for preterm infants."
"18","31314143","10.1002/14651858.CD010891.pub2","https://doi.org/10.1002/14651858.CD010891.pub2","2019","Genetic testing for prevention of severe drug-induced skin rash."
"19","31313293","10.1002/14651858.CD004307.pub6","https://doi.org/10.1002/14651858.CD004307.pub6","2019","Incentives for smoking cessation."
"20","31311064","10.1002/14651858.CD013038.pub2","https://doi.org/10.1002/14651858.CD013038.pub2","2019","Exposure to the smell and taste of milk to accelerate feeding in preterm infants."
"21","31309547","10.1002/14651858.CD005027.pub5","https://doi.org/10.1002/14651858.CD005027.pub5","2019","Interventions for morphea."
"22","31309536","10.1002/14651858.CD011972.pub2","https://doi.org/10.1002/14651858.CD011972.pub2","2019","Lifestyle changes for treating psoriasis."
"23","31291464","10.1002/14651858.CD009058.pub3","https://doi.org/10.1002/14651858.CD009058.pub3","2019","Cryotherapy for liver metastases."
"24","31290562","10.1002/14651858.ED000137","https://doi.org/10.1002/14651858.ED000137","2019","Reflection on 10 years as Cochrane's Editor in Chief."
"25","31287157","10.1002/14651858.CD005612.pub4","https://doi.org/10.1002/14651858.CD005612.pub4","2019","Pregabalin add-on for drug-resistant focal epilepsy."
"26","31283839","10.1002/14651858.CD000366.pub4","https://doi.org/10.1002/14651858.CD000366.pub4","2019","Inositol in preterm infants at risk for or having respiratory distress syndrome."
"27","31283001","10.1002/14651858.CD012546.pub2","https://doi.org/10.1002/14651858.CD012546.pub2","2019","Total serum bile acids or serum bile acid profile, or both, for the diagnosis of intrahepatic cholestasis of pregnancy."
"28","31283000","10.1002/14651858.CD012940.pub2","https://doi.org/10.1002/14651858.CD012940.pub2","2019","Re-feeding versus discarding gastric residuals to improve growth in preterm infants."
